"Vare","Vare_2","Masse","Volume","Energi_kj","Kalorier_kcal","Fett_g","Mettet fett_g","Enumettet_fett_g","Flerumettet_fett_g","Karbohydrater_g","Sukkerarter_g","Sukkeralkoholer","Stivelse_g","Kostfiber_g","Protein_g","Salt_g","Land","Merke","Producent","Indeholder_1","Indeholder_2","Indeholder_3","Indeholder_spor_1","Indeholder_spor_2","Indeholder_spor_3"
"Karbonader Gilde810 gr","",810,"",772,185,12,"5,2","4,4","0,5","7,3","2,3",0,0,0,12,"1,6","","","","","","","","",""
"Karbonader800 gr","","","",772,185,12,"5,2","4,4","0,5","7,3","2,3",0,0,0,12,"1,6","","","","","","","","",""
"Kelloggs Corn Flakes","","","",1604,378,"0,9","0,2","","",84,8,"","","0,9",7,"1,1","","","","","","","","",""
"Kesam Vanilje300 gram vanilje","",300,"",489,117,"6,6","4,3","","","8,1","7,8","","","","6,2","0,1","","","","","","","","",""
"Kinakålstk","","","",63,15,"0,1",0,0,0,"1,8",0,"",0,"1,2","1,1",0,"","","","","","","","",""
"King Oscars makrell grov100 gram","",100,"",947,228,18,"3,8","","3,6","3,5","3,5","","",0,13,1,"","","","","","","","",""
"Kiwi3 stk","","","",210,50,"0,9","0,1","0,1","0,1","8,3",0,"",0,"2,7","0,8",0,"","","","","","","","",""
"Kiwistk","","","",210,50,"0,9","0,1","0,1","0,1","8,3",0,"",0,"2,7","0,8",0,"","","","","","","","",""
"Kjøttdeig billigste type400 gr","",400,"",795,153,9,"2,9","","",0,0,"","","",18,0,"","","","","","","","",""
"Kjøttkakesaus","","","",148,35,"1,1","0,1","","","5,4",1,"","",0,"0,8","0,9","","","","","","","","",""
"Kjøttkakesaus 1 pose","","","",148,35,"1,1","0,1","","","5,4",1,"","",0,"0,8","0,9","","","","","","","","",""
"Kokt skinke Gilde110 gr","",110,"",475,113,"3,2","1,1","1,4","0,5",2,"0,4","","","",19,"1,9","","","","","","","","",""
"Komle/raspeballer m vossak.600 gr","","","",719,173,11,"4,6","","",11,"1,2","","","0,9","7,5","1,2","","","","","","","","",""
"Kremet BlomkålsuppePose","","","",130,31,"0,6","0,2","","","4,6","1,3","","","","1,6","0,9","","","","","","","","",""
"Kremet kyllingsuppe Toro RIK20 gram","","","",175,42,"1,6","0,5","","","5,4","1,2","","","0,2","1,4","0,8","","","","","","","","",""
