"Fylkesnr_2019","Fylkesnavn_2019","Kommunenr_2019","Kommunenavn_2019","Fylkesnr_2020","Fylkesnavn_2020","Kommunenr_2020","Kommunenavn_2020","DVH_regioner_2019","SIFO_regioner_2019","SSB"
"09","AUST-AGDER","0912","VEGÅRSHEI",42,"AGDER",4212,"VEGÅRSHEI","Vest Norge DVH","Vestre Østland","vegårshei"
"09","AUST-AGDER","0914","TVEDESTRAND",42,"AGDER",4213,"TVEDESTRAND","Vest Norge DVH","Vestre Østland","tvedestrand"
"09","AUST-AGDER","0919","FROLAND",42,"AGDER",4214,"FROLAND","Vest Norge DVH","Vestre Østland","froland"
"09","AUST-AGDER","0926","LILLESAND",42,"AGDER",4215,"LILLESAND","Vest Norge DVH","Vestre Østland","lillesand"
"09","AUST-AGDER","0928","BIRKENES",42,"AGDER",4216,"BIRKENES","Vest Norge DVH","Vestre Østland","birkenes"
"09","AUST-AGDER","0929","ÅMLI",42,"AGDER",4217,"ÅMLI","Vest Norge DVH","Vestre Østland","åmli"
"09","AUST-AGDER","0935","IVELAND",42,"AGDER",4218,"IVELAND","Vest Norge DVH","Vestre Østland","iveland"
"09","AUST-AGDER","0937","EVJE OG HORNNES",42,"AGDER",4219,"EVJE OG HORNNES","Vest Norge DVH","Vestre Østland","evje og hornnes"
"09","AUST-AGDER","0938","BYGLAND",42,"AGDER",4220,"BYGLAND","Vest Norge DVH","Vestre Østland","bygland"
"09","AUST-AGDER","0940","VALLE",42,"AGDER",4221,"VALLE","Vest Norge DVH","Vestre Østland","valle"
"09","AUST-AGDER","0941","BYKLE",42,"AGDER",4222,"BYKLE","Vest Norge DVH","Vestre Østland","bykle"
10,"VEST-AGDER",1001,"KRISTIANSAND",42,"AGDER",4204,"KRISTIANSAND","Vest Norge DVH","Vestre Østland","kristiansand"
10,"VEST-AGDER",1002,"MANDAL",42,"AGDER",4205,"LINDESNES","Vest Norge DVH","Vestre Østland","lindesnes"
10,"VEST-AGDER",1003,"FARSUND",42,"AGDER",4206,"FARSUND","Vest Norge DVH","Vestre Østland","farsund"
10,"VEST-AGDER",1004,"FLEKKEFJORD",42,"AGDER",4207,"FLEKKEFJORD","Vest Norge DVH","Vestre Østland","flekkefjord"
10,"VEST-AGDER",1014,"VENNESLA",42,"AGDER",4223,"VENNESLA","Vest Norge DVH","Vestre Østland","vennesla"
10,"VEST-AGDER",1017,"SONGDALEN",42,"AGDER",4204,"KRISTIANSAND","Vest Norge DVH","Vestre Østland","kristiansand"
10,"VEST-AGDER",1018,"SØGNE",42,"AGDER",4204,"KRISTIANSAND","Vest Norge DVH","Vestre Østland","kristiansand"
10,"VEST-AGDER",1021,"MARNARDAL",42,"AGDER",4205,"LINDESNES","Vest Norge DVH","Vestre Østland","lindesnes"
10,"VEST-AGDER",1026,"ÅSERAL",42,"AGDER",4224,"ÅSERAL","Vest Norge DVH","Vestre Østland","åseral"
10,"VEST-AGDER",1027,"AUDNEDAL",42,"AGDER",4225,"LYNGDAL","Vest Norge DVH","Vestre Østland","lyngdal"
10,"VEST-AGDER",1029,"LINDESNES",42,"AGDER",4205,"LINDESNES","Vest Norge DVH","Vestre Østland","lindesnes"
10,"VEST-AGDER",1032,"LYNGDAL",42,"AGDER",4225,"LYNGDAL","Vest Norge DVH","Vestre Østland","lyngdal"
10,"VEST-AGDER",1034,"HÆGEBOSTAD",42,"AGDER",4226,"HÆGEBOSTAD","Vest Norge DVH","Vestre Østland","hægebostad"
10,"VEST-AGDER",1037,"KVINESDAL",42,"AGDER",4227,"KVINESDAL","Vest Norge DVH","Vestre Østland","kvinesdal"
10,"VEST-AGDER",1046,"SIRDAL",42,"AGDER",4228,"SIRDAL","Vest Norge DVH","Vestre Østland","sirdal"
11,"ROGALAND",1101,"EIGERSUND",11,"ROGALAND",1101,"EIGERSUND","Vest Norge DVH","Vestlandet","eigersund"
11,"ROGALAND",1102,"SANDNES",11,"ROGALAND",1108,"SANDNES","Vest Norge DVH","Vestlandet","sandnes"
11,"ROGALAND",1103,"STAVANGER",11,"ROGALAND",1103,"STAVANGER","Vest Norge DVH","Vestlandet","stavanger"
11,"ROGALAND",1106,"HAUGESUND",11,"ROGALAND",1106,"HAUGESUND","Vest Norge DVH","Vestlandet","haugesund"
11,"ROGALAND",1111,"SOKNDAL",11,"ROGALAND",1111,"SOKNDAL","Vest Norge DVH","Vestlandet","sokndal"
11,"ROGALAND",1112,"LUND",11,"ROGALAND",1112,"LUND","Vest Norge DVH","Vestlandet","lund"
11,"ROGALAND",1114,"BJERKREIM",11,"ROGALAND",1114,"BJERKREIM","Vest Norge DVH","Vestlandet","bjerkreim"
11,"ROGALAND",1119,"HÅ",11,"ROGALAND",1119,"HÅ","Vest Norge DVH","Vestlandet","hå"
11,"ROGALAND",1120,"KLEPP",11,"ROGALAND",1120,"KLEPP","Vest Norge DVH","Vestlandet","klepp"
11,"ROGALAND",1121,"TIME",11,"ROGALAND",1121,"TIME","Vest Norge DVH","Vestlandet","time"
11,"ROGALAND",1122,"GJESDAL",11,"ROGALAND",1122,"GJESDAL","Vest Norge DVH","Vestlandet","gjesdal"
11,"ROGALAND",1124,"SOLA",11,"ROGALAND",1124,"SOLA","Vest Norge DVH","Vestlandet","sola"
11,"ROGALAND",1127,"RANDABERG",11,"ROGALAND",1127,"RANDABERG","Vest Norge DVH","Vestlandet","randaberg"
11,"ROGALAND",1129,"FORSAND",11,"ROGALAND",1108,"SANDNES","Vest Norge DVH","Vestlandet","sandnes"
11,"ROGALAND",1130,"STRAND",11,"ROGALAND",1130,"STRAND","Vest Norge DVH","Vestlandet","strand"
11,"ROGALAND",1133,"HJELMELAND",11,"ROGALAND",1133,"HJELMELAND","Vest Norge DVH","Vestlandet","hjelmeland"
11,"ROGALAND",1134,"SULDAL",11,"ROGALAND",1134,"SULDAL","Vest Norge DVH","Vestlandet","suldal"
11,"ROGALAND",1135,"SAUDA",11,"ROGALAND",1135,"SAUDA","Vest Norge DVH","Vestlandet","sauda"
11,"ROGALAND",1141,"FINNØY",11,"ROGALAND",1103,"STAVANGER","Vest Norge DVH","Vestlandet","stavanger"
11,"ROGALAND",1142,"RENNESØY",11,"ROGALAND",1103,"STAVANGER","Vest Norge DVH","Vestlandet","stavanger"
11,"ROGALAND",1144,"KVITSØY",11,"ROGALAND",1144,"KVITSØY","Vest Norge DVH","Vestlandet","kvitsøy"
11,"ROGALAND",1145,"BOKN",11,"ROGALAND",1145,"BOKN","Vest Norge DVH","Vestlandet","bokn"
11,"ROGALAND",1146,"TYSVÆR",11,"ROGALAND",1146,"TYSVÆR","Vest Norge DVH","Vestlandet","tysvær"
11,"ROGALAND",1149,"KARMØY",11,"ROGALAND",1149,"KARMØY","Vest Norge DVH","Vestlandet","karmøy"
11,"ROGALAND",1151,"UTSIRA",11,"ROGALAND",1151,"UTSIRA","Vest Norge DVH","Vestlandet","utsira"
11,"ROGALAND",1160,"VINDAFJORD",11,"ROGALAND",1160,"VINDAFJORD","Vest Norge DVH","Vestlandet","vindafjord"
12,"HORDALAND",1201,"BERGEN",46,"VESTLAND",4601,"BERGEN","Vest Norge DVH","Vestlandet","bergen"
