"Produkter","Verdi_andel_Tallene er inkl. 15 % mva","Salg_i_verdi_1000_NOK_2018","Salg_i_verdi_1000_NOK_2019","Endring_i_%_fra_2018_til_2019","Type","Sum","Lookup_navn","Norsk_2018","Import_2018","Total_2018","Norsk_2019","Import_2019","Total_2019","Endring_2018-2019","Endring_2020-2019_gjennomsnitt","Kg_pr_capita_i_2019","Overordnet_type","Oprindeligt_navn","Folketallet_gjennemsnit_2019","Kg_pr_capita_i_2019__1"
"Drue","34,6",992517,1061512,"7,0","Bløtfrukter","Enhed","Drue",0,26109,26109,0,25751,25751,-0.014,-0.008,4.8,"FRUKT","Druer",5347896,4.82
"Melon","11,8",399185,362127,"-9,3","Bløtfrukter","Enhed","Melon",0,29570,29570,0,30058,30058,0.017,0.003,5.6,"FRUKT","Meloner",5347896,5.62
"Kiwi","4,1",127849,124947,"-2,3","Bløtfrukter","Enhed","Kiwi",0,3741,3741,0,3725,3725,-0.004,-0.04,0.7,"FRUKT","Kiwi",5347896,0.7
"Ananas","1,3",43509,39551,"-9,1","Bløtfrukter","Enhed","Ananas",0,5183,5183,0,5384,5384,0.039,-0.019,1,"FRUKT","Ananas",5347896,1.01
"Bløtfrukter øvrige","1,4",44769,41647,"-7,0","Bløtfrukter","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Kjernefrukter","100,0",1414693,1350283,"-4,6","Kjernefrukter","Kategori","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Eple","82,4",1143086,1112024,"-2,7","Kjernefrukter","Enhed","Eple",7375,43740,51115,8144,44656,52800,0.033,-0.013,9.9,"FRUKT","Epler",5347896,9.87
"Pære","17,6",271437,238117,"-12,3","Kjernefrukter","Enhed","Pære",454,17141,17595,325,15774,16099,-0.085,-0.031,3,"FRUKT","Pærer",5347896,3.01
"Kjernefrukter øvrige","0,0",170,142,"-16,5","Kjernefrukter","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Sitrusfrukter","100,0",1421671,1500174,"5,5","Sitrusfrukter","Kategori","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Klementin","45,2",608293,678368,"11,5","Sitrusfrukter","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
