"Vare","Vare_2","Masse","Volume","Energi_kj","Kalorier_kcal","Fett_g","Mettet fett_g","Enumettet_fett_g","Flerumettet_fett_g","Karbohydrater_g","Sukkerarter_g","Sukkeralkoholer","Stivelse_g","Kostfiber_g","Protein_g","Salt_g","Land","Merke","Producent","Indeholder_1","Indeholder_2","Indeholder_3","Indeholder_spor_1","Indeholder_spor_2","Indeholder_spor_3"
"JIF_Universal500_ml","","",500,"","","","","","","","","","","","","","","","","","","","","",""
"JoikakakerHermetikk_800gr","",800,"","","","","","","","","","","","","","","","","","","","","","",""
"Jordbærgele","","","",327,77,0,0,"","",19,19,"","","",0,"0,2","","","","","","","","",""
"Jordbærsyltetøy_eget_merke1000_gram","",1000,"",715,169,"0,1",0,"","",40,37,"",3,3,"0,4",0,"","","","","","","","",""
"Jordbærsyltetøy_Nora400_gr_hjemmelaget","",400,"",610,145,"0,1",0,"","",35,35,"","","1,5","0,3",0,"","","","","","","","",""
"Jubelsalami100_gr","",100,"",1618,391,35,13,17,5,1,0,"","","",18,5,"","","","","","","","",""
"Juleansjons","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kalkunfilet_Naturell100_gram","",100,"",446,105,"1,2","0,4","0,5","0,3","1,6","0,4","","","",22,"1,7","","","","","","","","",""
"Kaptein_kjeks200_gr","",200,"",1700,410,"6,5","1,4","3,5","1,5",73,"2,1","","","2,7",13,"1,5","","","","","","","","",""
"Karamellsaus","","","",1615,380,0,0,"","",95,95,"","",0,0,0,"","","","","","","","",""
"Karbonadedeig_billigste_type","","","",542,129,5,"1,7","2,1","0,7",0,0,"","","",21,"0,1","","","","","","","","",""
"Karbonader_Gilde810_gr","",810,"",772,185,12,"5,2","4,4","0,5","7,3","2,3",0,0,0,12,"1,6","","","","","","","","",""
"Karbonader800_gr","","","",772,185,12,"5,2","4,4","0,5","7,3","2,3",0,0,0,12,"1,6","","","","","","","","",""
"Kelloggs_Corn_Flakes","","","",1604,378,"0,9","0,2","","",84,8,"","","0,9",7,"1,1","","","","","","","","",""
"Kesam_Vanilje300_gram_vanilje","",300,"",489,117,"6,6","4,3","","","8,1","7,8","","","","6,2","0,1","","","","","","","","",""
"Kinakålstk","","","",63,15,"0,1",0,0,0,"1,8",0,"",0,"1,2","1,1",0,"","","","","","","","",""
"King_Oscars_makrell_grov100_gram","",100,"",947,228,18,"3,8","","3,6","3,5","3,5","","",0,13,1,"","","","","","","","",""
"Kiwi3_stk","","","",210,50,"0,9","0,1","0,1","0,1","8,3",0,"",0,"2,7","0,8",0,"","","","","","","","",""
"Kiwistk","","","",210,50,"0,9","0,1","0,1","0,1","8,3",0,"",0,"2,7","0,8",0,"","","","","","","","",""
"Kjøttdeig_billigste_type400_gr","",400,"",795,153,9,"2,9","","",0,0,"","","",18,0,"","","","","","","","",""
"Kjøttkakesaus","","","",148,35,"1,1","0,1","","","5,4",1,"","",0,"0,8","0,9","","","","","","","","",""
"Kjøttkakesaus_1_pose","","","",148,35,"1,1","0,1","","","5,4",1,"","",0,"0,8","0,9","","","","","","","","",""
"Kokt_skinke_Gilde110_gr","",110,"",475,113,"3,2","1,1","1,4","0,5",2,"0,4","","","",19,"1,9","","","","","","","","",""
"Komle/raspeballer_m_vossak.600_gr","","","",719,173,11,"4,6","","",11,"1,2","","","0,9","7,5","1,2","","","","","","","","",""
"Kremet_BlomkålsuppePose","","","",130,31,"0,6","0,2","","","4,6","1,3","","","","1,6","0,9","","","","","","","","",""
"Kremet_kyllingsuppe_Toro_RIK20_gram","","","",175,42,"1,6","0,5","","","5,4","1,2","","","0,2","1,4","0,8","","","","","","","","",""
