"Ticker","SPAC Company","Price","Target","Pro Forma Market Cap (at $10)","Expected Net Cash (Debt) at Closing (with no redemptions)","Pro Forma Enterprise Value at $10","Pro Forma Market Cap at Current Price","PIPE Size","2019 Revenue","2020 Revenue","2021 Revenue Projection","2022 Revenue Projection","2023 Revenue Projection","2020 Growth (Decline)","2021 Growth (Decline)","2022 Growth (Decline)","2023 Growth (Decline)","2021 Price-to-Sales Multiple","2022 Price-to-Sales Multiple","Investor Presentation","Links"
"VCVC","10X Capital Venture Acq. Corp.","$10.63","REE Automotive","$3,581.0","$436.0","$3,145.0","$3,806.6","$300.0","$0.0","$0.0","$0.0","$0.0","$300.0","-","-","-","-","","","Investor Presentation","https://www.sec.gov/Archives/edgar/data/1821595/000121390021006323/ea134517ex99-1_10xcapital.htm"
"ARYA","ARYA Sciences Acq. Corp. III","$12.84","Nautilus Biotech","$1,292.0","$386.5","$905.5","$1,658.9","$200.0","$0.0","$0.0","$0.0","$4.0","$17.0","-","-","-","325.00 %","",414.73,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1808805/000114036121003650/brhc10019858_ex99-2.htm"
"DCRB","Decarbonization Plus Acq. Corp.","$10.65","Hyzon Motors","$2,682.0","$576.0","$2,106.0","$2,856.3","$400.0","$0.0","$0.0","$37.0","$198.0","$972.0","-","-","435.10 %","390.90 %",77.2,14.43,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1716583/000119312521033234/d109364dex993.htm"
"ACIC","Atlast Crest Investment Corp.","$10.15","Archer Aviation","$3,750.0","$1,037.0","$2,713.0","$3,806.3","$600.0","$0.0","$0.0","$0.0","$0.0","$0.0","-","-","-","-","","","Investor Presentation","https://www.sec.gov/Archives/edgar/data/1824502/000121390021007940/ea134984ex99-2_atlascrest.htm"
"AACQ","Artius Acq. Inc.","$10.26","Origin Materials","$1,843.0","$843.0","$1,000.0","$1,890.9","$200.0","$0.0","$0.0","$0.0","$0.0","$60.0","-","-","-","-","","","Investor Presentation","https://www.sec.gov/Archives/edgar/data/1802457/000119312521045759/d137043dex992.htm"
"AHAC","Alpha Healthcare Acq. Corp","$10.66","Humacyte","$1,104.0","$255.0","$849.0","$1,176.9","$175.0","$0.0","$0.0","$0.0","$0.0","$0.0","-","-","-","-","","","Investor Presentation","https://www.sec.gov/Archives/edgar/data/1818382/000121390021009957/ea135854ex99-2_alphahealth.htm"
"CFAC","CF Finance Acq. Corp. III","$10.05","AEye","$2,418.0","$415.0","$2,003.0","$2,430.1","$225.0","$0.0","$0.0","$4.0","$13.0","$35.0","-","-","225.00 %","169.20 %",607.52,186.93,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1818644/000121390021009943/ea135852ex99-2_cffinance3.htm"
"CAPA","HighCape Capital Acq. Corp.","$12.30","Quantum-Si","$1,460.7","$536.2","$924.5","$1,796.7","$425.0","$0.0","$0.0","$0.0","$17.0","$49.0","-","-","-","188.20 %","",105.69,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1816431/000110465921025083/tm217111d1_ex99-2.htm"
"ESSC","East Stone Acq. Corp.","$9.92","JHD Holdings","$1,000.0","NA","","$992.0","","$42.7","$80.1","","","","87.60 %","-","-","-","","","Investor Presentation","https://www.sec.gov/Archives/edgar/data/1760683/000121390021010227/ea135945ex99-2_eaststone.htm"
"RSVA","Rodgers Silicon Valley Acq. Corp.","$13.91","Enovix","$1,513.0","$385.0","$1,128.0","$2,104.6","$175.0","$0.0","$0.0","$7.0","$11.0","$176.0","-","-","57.10 %","1500.00 %",300.65,191.33,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1828318/000110465921026022/tm217461d1_ex99-2.htm"
"RTP","Reinvent Technology Partners","$10.18","Joby Aviation","$6,600.0","$1,971.0","$4,629.0","$6,718.8","$910.0","$0.0","$0.0","$0.0","$0.0","$0.0","-","-","-","-","","","Investor Presentation","https://www.sec.gov/Archives/edgar/data/1819848/000119312521053631/d135823dex992.htm"
"SOAC","Sustainable Opportunities Corp.","$9.98","DeepGreen Metals","$2,948.0","$570.0","$2,378.0","$2,942.1","$330.0","$0.0","$0.0","$0.0","$0.0","$0.0","-","-","-","-","","","Investor Presentation","https://www.sec.gov/Archives/edgar/data/1798562/000121390021013347/ea137001ex99-2_sustainable.htm"
"GWAC","Good Works Acq. Corp.","$10.64","Cipher Mining","$2,501.0","$501.0","$2,000.0","$2,661.1","$425.0","$0.0","$0.0","$6.0","$350.0","$652.0","-","-","5733.30 %","86.30 %",443.51,7.6,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1819989/000121390021013594/ea136931ex99-2_goodworks.htm"
